index,Rank,Game Title,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Review
66,67,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,91.73
67,68,Myst,PC,1994,Adventure,Red Orb,4.91,2.79,0,0.33,8.03,84
68,69,Halo 4,X360,2012,Shooter,Microsoft Game Studios,5.46,1.72,0.04,0.72,7.94,87.48
69,70,Mario Party 8,Wii,2007,Misc,Nintendo,3.68,1.95,1.58,0.68,7.9,63.04
70,71,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Nintendo,2.55,3.76,0.66,0.9,7.87,74
71,72,Final Fantasy VIII,PS,1999,Role-Playing,Square,2.28,1.72,3.63,0.23,7.86,89.17
72,73,Mario Kart 7,3DS,2011,Racing,Nintendo,2.95,2.24,2.03,0.49,7.71,85.17
73,74,The Legend of Zelda: Ocarina of Time,N64,1998,Adventure,Nintendo,4.1,1.89,1.45,0.16,7.6,97
74,75,Pokemon Platinum Version,DS,2008,Role-Playing,Nintendo,2.68,1.62,2.69,0.53,7.52,89
75,76,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.84,2.7,0.24,1.69,7.47,87.54
76,77,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,82
77,78,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85
78,79,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.3
79,80,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,3.96,2.36,0.09,0.71,7.11,93
80,81,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,93
81,82,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.38,2.04,0.98,0.61,7.01,90
82,83,Just Dance,Wii,2009,Misc,Ubisoft,3.32,2.9,0,0.74,6.96,68
83,84,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,86
84,85,Call of Duty: World at War,X360,2008,Shooter,Activision,4.49,1.77,0,0.66,6.92,85.57
85,86,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,85
86,87,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,87
87,88,The Legend of Zelda: Twilight Princess,Wii,2006,Adventure,Nintendo,3.56,1.94,0.6,0.66,6.76,94.58
88,89,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.06,1.95,0.05,0.65,6.7,84.9
89,90,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.03,1.87,0.06,0.64,6.6,93.32
90,91,Big Brain Academy,DS,2005,Misc,Nintendo,1.65,2.7,1.6,0.61,6.56,75.73
91,92,The Legend of Zelda,NES,1986,Adventure,Nintendo,3.74,0.93,1.69,0.14,6.51,89
92,93,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,95.54
93,94,Pokemon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,86
94,95,Pokemon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,88
95,96,Pokemon Black / White Version 2,DS,2012,Role-Playing,Nintendo,1.99,1.09,2.97,0.34,6.38,81.31
96,97,FIFA Soccer 12,PS3,2011,Sports,Electronic Arts,0.78,4.02,0.11,1.41,6.32,84
97,98,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,85
98,99,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,92
99,100,Zumba Fitness,Wii,2010,Sports,505 Games,3.21,2.44,0,0.66,6.3,51
100,101,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,2.93,2.12,0.28,0.97,6.3,93.54
101,102,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.52,2.44,0.3,1.02,6.27,84.71
102,103,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.52
103,104,World of Warcraft,PC,2004,Role-Playing,Activision,3.96,2.29,0,0,6.25,91.89
104,105,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,0.84,3.88,0.08,1.36,6.16,80
105,106,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.19,1.29,0.06,0.6,6.14,84.77
106,107,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.04,1.95,0.21,0.92,6.13,95
107,108,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,95.04
108,109,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,90
