Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4144.6152343750,4155.8974609375,4112.1796875000,4101.6665039062,4132.0512695312,4156.9228515625,4153.2050781250,4154.6152343750,4150.6411132812,4157.4360351562,4167.8203125000,4150.1284179688,4200.6411132812,4262.3076171875,,,
0.0039062500,0,4145.1284179688,4155.6411132812,4119.2309570312,4107.6923828125,4138.0771484375,4157.3076171875,4154.3588867188,4155.6411132812,4154.1025390625,4156.6665039062,4171.7949218750,4154.1025390625,4202.3076171875,4258.5898437500,,,
0.0078125000,0,4143.2050781250,4157.3076171875,4122.8203125000,4110.1284179688,4140.6411132812,4157.0512695312,4155.2563476562,4157.1796875000,4155.7690429688,4155.1284179688,4171.6665039062,4155.7690429688,4200.0000000000,4251.9228515625,,,
0.0117187500,0,4138.8461914062,4157.6923828125,4121.6665039062,4107.6923828125,4138.3334960938,4156.0258789062,4155.3847656250,4158.3334960938,4154.2309570312,4153.7177734375,4166.9228515625,4153.3334960938,4193.2050781250,4244.1025390625,,,
0.0156250000,1,4133.5898437500,4155.1284179688,4117.1796875000,4100.8974609375,4132.3076171875,4154.6152343750,4153.9741210938,4157.0512695312,4149.4873046875,4151.9228515625,4159.4873046875,4147.1796875000,4183.0771484375,4237.4360351562,,,
0.0195312500,1,4129.6152343750,4151.1538085938,4112.0512695312,4092.9487304688,4125.8974609375,4153.4614257812,4150.5126953125,4152.1796875000,4143.0771484375,4148.5898437500,4152.4360351562,4139.7436523438,4172.5639648438,4232.3076171875,,,
0.0234375000,1,4128.2050781250,4149.7436523438,4109.1025390625,4087.9487304688,4122.1796875000,4152.9487304688,4145.3847656250,4144.8715820312,4137.1796875000,4143.5898437500,4148.7177734375,4134.3588867188,4165.5126953125,4228.5898437500,,,
0.0273437500,1,4129.3588867188,4153.5898437500,4110.3847656250,4088.5898437500,4122.1796875000,4153.3334960938,4140.5126953125,4138.2050781250,4134.6152343750,4138.7177734375,4149.1025390625,4133.3334960938,4164.3588867188,4226.2822265625,,,
0.0312500000,2,4131.4101562500,4162.5639648438,4116.4101562500,4094.6154785156,4125.5126953125,4154.4873046875,4138.9741210938,4136.1538085938,4136.9228515625,4136.9228515625,4152.6923828125,4136.5385742188,4168.9741210938,4226.1538085938,,,
0.0351562500,2,4133.8461914062,4172.0512695312,4126.2822265625,4103.4614257812,4131.4101562500,4156.5385742188,4143.2050781250,4140.7690429688,4143.8461914062,4141.1538085938,4157.9487304688,4142.8203125000,4177.6923828125,4229.2309570312,,,
0.0390625000,2,4136.6665039062,4176.7949218750,4137.5639648438,4112.5639648438,4139.2309570312,4159.4873046875,4152.9487304688,4150.6411132812,4152.9487304688,4150.8974609375,4164.3588867188,4150.5126953125,4188.0771484375,4235.2563476562,,,
0.0429687500,2,4140.5126953125,4174.7436523438,4147.8203125000,4120.6411132812,4148.4614257812,4163.9741210938,4164.4873046875,4161.9228515625,4161.2822265625,4163.0771484375,4172.0512695312,4158.8461914062,4198.0771484375,4242.5639648438,,,
0.0468750000,3,4145.0000000000,4168.8461914062,4155.6411132812,4127.1796875000,4158.2050781250,4169.1025390625,4173.3334960938,4170.2563476562,4167.1796875000,4173.7177734375,4180.6411132812,4166.4101562500,4206.0258789062,4248.3334960938,,,
0.0507812500,3,4149.1025390625,4165.3847656250,4160.7690429688,4132.5639648438,4166.7949218750,4173.0771484375,4176.9228515625,4173.9741210938,4170.5126953125,4179.8715820312,4187.8203125000,4171.4101562500,4210.5126953125,4250.5126953125,,,
0.0546875000,3,4151.5385742188,4167.3076171875,4162.9487304688,4135.8974609375,4172.1796875000,4173.4614257812,4175.8974609375,4173.9741210938,4171.5385742188,4180.5126953125,4190.8974609375,4172.5639648438,4211.1538085938,4249.4873046875,,,
0.0585937500,3,4151.1538085938,4171.9228515625,4161.7949218750,4136.4101562500,4173.2050781250,4169.3588867188,4173.9741210938,4171.9228515625,4171.2822265625,4177.3076171875,4189.1025390625,4169.7436523438,4208.3334960938,4247.1796875000,,,
0.0625000000,4,4148.2050781250,4172.8203125000,4158.2050781250,4133.8461914062,4170.8974609375,4162.3076171875,4174.2309570312,4169.8715820312,4170.3847656250,4173.0771484375,4184.7436523438,4164.7436523438,4203.5898437500,4245.6411132812,,,
0.0664062500,4,4144.6152343750,4166.2822265625,4154.3588867188,4129.3588867188,4167.6923828125,4156.5385742188,4177.0512695312,4169.1025390625,4169.6152343750,4170.6411132812,4181.1538085938,4160.2563476562,4200.1284179688,4245.6411132812,,,
0.0703125000,4,4143.3334960938,4153.8461914062,4153.0771484375,4124.8715820312,4166.6665039062,4155.5126953125,4181.0258789062,4170.3847656250,4169.7436523438,4171.5385742188,4181.1538085938,4159.1025390625,4200.5126953125,4246.5385742188,,,
0.0742187500,4,4146.0258789062,4140.7690429688,4155.2563476562,4121.9228515625,4168.8461914062,4160.0000000000,4184.7436523438,4173.8461914062,4171.7949218750,4175.6411132812,4185.7690429688,4162.4360351562,4205.2563476562,4247.8203125000,,,
0.0781250000,5,4151.9228515625,4132.1796875000,4160.1284179688,4121.0258789062,4172.4360351562,4166.7949218750,4187.9487304688,4179.1025390625,4176.4101562500,4181.2822265625,4193.5898437500,4169.4873046875,4212.3076171875,4248.7177734375,,,
0.0820312500,5,4157.8203125000,4129.7436523438,4165.3847656250,4121.4101562500,4174.3588867188,4171.0258789062,4190.7690429688,4185.0000000000,4182.8203125000,4186.4101562500,4202.5639648438,4177.5639648438,4218.4614257812,4249.6152343750,,,
0.0859375000,5,4160.8974609375,4132.1796875000,4169.6152343750,4122.3076171875,4172.8203125000,4169.4873046875,4192.4360351562,4189.4873046875,4188.3334960938,4189.6152343750,4210.7690429688,4183.5898437500,4221.7949218750,4251.0258789062,,,
0.0898437500,5,4160.6411132812,4137.8203125000,4171.9228515625,4122.8203125000,4168.7177734375,4162.9487304688,4191.7949218750,4190.6411132812,4190.2563476562,4190.8974609375,4216.4101562500,4186.2822265625,4222.3076171875,4252.9487304688,,,
0.0937500000,6,4158.3334960938,4144.8715820312,4171.7949218750,4122.4360351562,4163.8461914062,4155.6411132812,4188.0771484375,4188.3334960938,4187.5639648438,4191.1538085938,4218.5898437500,4186.0258789062,4221.6665039062,4254.3588867188,,,
0.0976562500,6,4155.5126953125,4151.4101562500,4169.2309570312,4120.3847656250,4159.8715820312,4151.9228515625,4181.9228515625,4183.4614257812,4181.1538085938,4190.3847656250,4217.1796875000,4183.9741210938,4220.6411132812,4254.1025390625,,,
0.1015625000,6,4153.3334960938,4155.7690429688,4165.1284179688,4116.1538085938,4156.5385742188,4152.8203125000,4175.0000000000,4177.9487304688,4173.8461914062,4187.9487304688,4213.0771484375,4180.2563476562,4218.9741210938,4251.1538085938,,,
0.1054687500,6,4151.4101562500,4156.6665039062,4160.6411132812,4110.3847656250,4153.7177734375,4155.8974609375,4169.1025390625,4172.6923828125,4168.4614257812,4183.8461914062,4208.4614257812,4175.3847656250,4215.8974609375,4246.6665039062,,,
0.1093750000,7,4149.7436523438,4155.2563476562,4157.8203125000,4105.3847656250,4151.7949218750,4157.8203125000,4165.6411132812,4168.2050781250,4166.5385742188,4180.5126953125,4205.3847656250,4170.3847656250,4212.1796875000,4242.8203125000,,,
0.1132812500,7,4149.8715820312,4154.2309570312,4158.7177734375,4104.6152343750,4152.6923828125,4157.4360351562,4164.8715820312,4165.3847656250,4167.8203125000,4180.2563476562,4205.8974609375,4167.9487304688,4210.5126953125,4242.0512695312,,,
0.1171875000,7,4153.5898437500,4156.6665039062,4164.8715820312,4110.2563476562,4157.3076171875,4156.6665039062,4166.4101562500,4165.2563476562,4171.0258789062,4183.8461914062,4210.0000000000,4170.3847656250,4213.3334960938,4245.5126953125,,,
0.1210937500,7,4160.7690429688,4163.8461914062,4175.2563476562,4120.8974609375,4164.7436523438,4157.6923828125,4169.1025390625,4167.4360351562,4174.2309570312,4188.3334960938,4215.7690429688,4177.3076171875,4220.0000000000,4251.7949218750,,,
0.1250000000,8,4167.4360351562,4172.1796875000,4185.5126953125,4130.6411132812,4171.5385742188,4160.1284179688,4170.6411132812,4170.5126953125,4175.1284179688,4189.6152343750,4219.6152343750,4184.8715820312,4226.2822265625,4257.0512695312,,,
0.1289062500,8,4168.9741210938,4175.7690429688,4190.6411132812,4133.4614257812,4173.0771484375,4161.4101562500,4168.9741210938,4171.5385742188,4171.6665039062,4185.0000000000,4218.0771484375,4187.4360351562,4227.0512695312,4257.3076171875,,,
0.1328125000,8,4163.5898437500,4170.0000000000,4187.8203125000,4126.7949218750,4166.6665039062,4159.8715820312,4162.8203125000,4168.2050781250,4162.8203125000,4174.4873046875,4210.1284179688,4182.3076171875,4220.2563476562,4251.0258789062,,,
0.1367187500,8,4153.7177734375,4156.5385742188,4178.8461914062,4113.7177734375,4153.9741210938,4155.5126953125,4152.6923828125,4160.7690429688,4150.7690429688,4161.9228515625,4198.5898437500,4171.1538085938,4208.7177734375,4240.6411132812,,,
0.1406250000,9,4144.8715820312,4142.3076171875,4168.9741210938,4101.4101562500,4140.7690429688,4151.2822265625,4142.4360351562,4152.9487304688,4140.1284179688,4152.1796875000,4187.6923828125,4159.1025390625,4197.9487304688,4231.1538085938,,,
0.1445312500,9,4141.7949218750,4134.6152343750,4163.3334960938,4096.1538085938,4133.3334960938,4150.1284179688,4136.6665039062,4149.2309570312,4135.8974609375,4148.7177734375,4181.4101562500,4151.6665039062,4192.8203125000,4226.6665039062,,,
0.1484375000,9,4145.1284179688,4135.2563476562,4163.9741210938,4099.6152343750,4134.7436523438,4152.6923828125,4137.8203125000,4151.2822265625,4139.2309570312,4151.7949218750,4180.8974609375,4151.5385742188,4194.1025390625,4228.0771484375,,,
0.1523437500,9,4151.0258789062,4141.1538085938,4168.8461914062,4108.3334960938,4142.4360351562,4156.4101562500,4144.1025390625,4156.9228515625,4147.1796875000,4158.4614257812,4184.2309570312,4156.5385742188,4198.5898437500,4232.9487304688,,,
0.1562500000,10,4154.6152343750,4147.9487304688,4173.8461914062,4116.0258789062,4150.8974609375,4158.0771484375,4151.1538085938,4162.5639648438,4155.0000000000,4164.8715820312,4188.4614257812,4161.5385742188,4202.5639648438,4236.5385742188,,,
