Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4154.8715820312,4112.1796875000,4203.0771484375,4107.1796875000,4152.1796875000,4158.8461914062,4168.8461914062,4172.5639648438,4183.5898437500,4183.3334960938,4200.8974609375,4173.3334960938,4137.8203125000,4230.7690429688,,,
0.0039062500,0,4150.3847656250,4109.4873046875,4200.1284179688,4103.8461914062,4151.6665039062,4158.2050781250,4168.7177734375,4170.3847656250,4178.0771484375,4177.3076171875,4198.2050781250,4166.6665039062,4135.5126953125,4222.3076171875,,,
0.0078125000,0,4147.5639648438,4118.2050781250,4196.5385742188,4102.1796875000,4151.7949218750,4158.3334960938,4168.4614257812,4165.7690429688,4172.8203125000,4171.9228515625,4198.4614257812,4163.8461914062,4135.5126953125,4216.2822265625,,,
0.0117187500,0,4148.2050781250,4134.1025390625,4193.9741210938,4104.1025390625,4150.1284179688,4159.6152343750,4167.6923828125,4161.2822265625,4170.3847656250,4169.1025390625,4200.2563476562,4165.5126953125,4136.9228515625,4216.1538085938,,,
0.0156250000,1,4151.7949218750,4149.1025390625,4195.2563476562,4109.4873046875,4146.4101562500,4160.7690429688,4166.2822265625,4159.3588867188,4171.5385742188,4169.7436523438,4201.9228515625,4169.8715820312,4138.7177734375,4220.7690429688,,,
0.0195312500,1,4155.6411132812,4156.9228515625,4200.3847656250,4116.1538085938,4142.9487304688,4160.2563476562,4164.1025390625,4160.7690429688,4174.1025390625,4172.4360351562,4202.4360351562,4174.8715820312,4140.1284179688,4225.6411132812,,,
0.0234375000,1,4157.1796875000,4155.2563476562,4206.4101562500,4120.7690429688,4141.4101562500,4158.2050781250,4160.8974609375,4163.3334960938,4175.6411132812,4174.4873046875,4201.5385742188,4178.3334960938,4140.3847656250,4226.9228515625,,,
0.0273437500,1,4155.6411132812,4147.0512695312,4211.1538085938,4121.0258789062,4141.1538085938,4155.6411132812,4157.3076171875,4164.3588867188,4175.0000000000,4174.1025390625,4199.7436523438,4179.1025390625,4139.3588867188,4223.5898437500,,,
0.0312500000,2,4152.5639648438,4137.8203125000,4213.8461914062,4116.5385742188,4140.2563476562,4154.2309570312,4154.4873046875,4162.6923828125,4173.5898437500,4171.5385742188,4197.8203125000,4177.5639648438,4137.6923828125,4217.9487304688,,,
0.0351562500,2,4150.1284179688,4131.9228515625,4214.7436523438,4109.4873046875,4138.0771484375,4154.4873046875,4153.5898437500,4160.1284179688,4173.2050781250,4168.4614257812,4196.1538085938,4174.3588867188,4136.5385742188,4213.9741210938,,,
0.0390625000,2,4150.1284179688,4130.1284179688,4213.9741210938,4103.0771484375,4135.7690429688,4156.1538085938,4155.0000000000,4158.7177734375,4174.2309570312,4167.1796875000,4195.3847656250,4170.7690429688,4136.9228515625,4214.1025390625,,,
0.0429687500,2,4152.4360351562,4130.6411132812,4211.6665039062,4100.1284179688,4134.8715820312,4158.0771484375,4157.6923828125,4159.4873046875,4175.5126953125,4168.4614257812,4196.4101562500,4168.0771484375,4138.7177734375,4216.7949218750,,,
0.0468750000,3,4154.8715820312,4130.2563476562,4209.2309570312,4101.2822265625,4136.1538085938,4159.1025390625,4159.1025390625,4160.6411132812,4175.1284179688,4171.1538085938,4198.8461914062,4166.5385742188,4140.7690429688,4218.7177734375,,,
0.0507812500,3,4155.3847656250,4127.6923828125,4207.8203125000,4105.5126953125,4138.3334960938,4158.5898437500,4157.5639648438,4160.0000000000,4172.5639648438,4172.8203125000,4201.0258789062,4165.5126953125,4141.4101562500,4218.2050781250,,,
0.0546875000,3,4152.8203125000,4124.8715820312,4208.2050781250,4110.8974609375,4140.0000000000,4157.0512695312,4153.9741210938,4156.4101562500,4169.1025390625,4172.0512695312,4201.0258789062,4164.7436523438,4140.5126953125,4216.5385742188,,,
0.0585937500,3,4148.5898437500,4124.8715820312,4209.8715820312,4116.4101562500,4140.7690429688,4155.7690429688,4151.9228515625,4152.1796875000,4166.9228515625,4169.6152343750,4198.7177734375,4165.0000000000,4139.1025390625,4216.2822265625,,,
0.0625000000,4,4145.7690429688,4128.8461914062,4211.7949218750,4120.7690429688,4141.6665039062,4156.2822265625,4154.3588867188,4150.6411132812,4167.1796875000,4167.8203125000,4196.9228515625,4166.7949218750,4138.3334960938,4218.5898437500,,,
0.0664062500,4,4146.5385742188,4135.2563476562,4213.4614257812,4122.5639648438,4144.2309570312,4157.9487304688,4160.2563476562,4153.9741210938,4169.4873046875,4168.5898437500,4197.8203125000,4169.3588867188,4138.8461914062,4221.4101562500,,,
0.0703125000,4,4151.4101562500,4140.5126953125,4214.6152343750,4121.6665039062,4148.3334960938,4159.7436523438,4165.6411132812,4160.5126953125,4172.3076171875,4172.1796875000,4202.4360351562,4171.2822265625,4140.2563476562,4222.8203125000,,,
0.0742187500,4,4157.4360351562,4141.9228515625,4215.5126953125,4118.8461914062,4152.8203125000,4160.8974609375,4166.9228515625,4166.5385742188,4174.8715820312,4177.1796875000,4209.2309570312,4171.9228515625,4142.3076171875,4222.1796875000,,,
