Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0390625000,2,4139.7436523438,4148.4614257812,4155.8974609375,4054.1025390625,4159.1025390625,4156.6665039062,4156.7949218750,4147.3076171875,4155.3847656250,4159.6152343750,4158.8461914062,4156.1538085938,4150.6411132812,4166.6665039062,,,
0.0429687500,2,4137.9487304688,4157.3076171875,4155.8974609375,4051.0256347656,4157.8203125000,4156.0258789062,4150.7690429688,4145.2563476562,4154.8715820312,4160.6411132812,4155.6411132812,4152.0512695312,4152.5639648438,4159.8715820312,,,
0.0468750000,3,4135.0000000000,4159.3588867188,4152.3076171875,4046.2819824219,4151.7949218750,4155.0000000000,4145.1284179688,4141.4101562500,4152.4360351562,4161.6665039062,4153.3334960938,4148.5898437500,4151.7949218750,4153.3334960938,,,
0.0507812500,3,4133.4614257812,4155.2563476562,4149.4873046875,4044.2307128906,4145.2563476562,4154.4873046875,4142.6923828125,4137.5639648438,4151.1538085938,4164.7436523438,4153.9741210938,4148.0771484375,4150.5126953125,4150.7690429688,,,
0.0546875000,3,4134.6152343750,4150.0000000000,4151.0258789062,4047.3076171875,4142.6923828125,4155.2563476562,4144.4873046875,4136.2822265625,4152.0512695312,4168.5898437500,4156.4101562500,4150.5126953125,4150.7690429688,4153.4614257812,,,
0.0585937500,3,4137.8203125000,4148.5898437500,4156.9228515625,4054.7436523438,4146.2822265625,4156.6665039062,4149.8715820312,4139.1025390625,4154.2309570312,4168.8461914062,4158.0771484375,4153.9741210938,4152.1796875000,4159.2309570312,,,
0.0625000000,4,4140.7690429688,4152.0512695312,4164.2309570312,4063.2050781250,4155.0000000000,4158.4614257812,4156.0258789062,4144.4873046875,4155.2563476562,4163.0771484375,4157.3076171875,4156.1538085938,4152.8203125000,4163.8461914062,,,
0.0664062500,4,4141.9228515625,4156.7949218750,4169.6152343750,4068.9743652344,4164.3588867188,4159.6152343750,4160.3847656250,4148.8461914062,4153.8461914062,4153.9741210938,4155.3847656250,4156.2822265625,4152.0512695312,4164.4873046875,,,
0.0703125000,4,4141.5385742188,4157.9487304688,4171.9228515625,4070.6411132812,4169.8715820312,4159.2309570312,4161.5385742188,4149.8715820312,4151.1538085938,4148.2050781250,4155.0000000000,4155.3847656250,4151.2822265625,4162.0512695312,,,
0.0742187500,4,4141.6665039062,4153.7177734375,4172.3076171875,4068.7180175781,4170.2563476562,4157.3076171875,4159.6152343750,4147.5639648438,4150.1284179688,4150.7690429688,4156.9228515625,4155.2563476562,4151.6665039062,4159.4873046875,,,
0.0781250000,5,4143.0771484375,4146.9228515625,4172.0512695312,4065.6411132812,4166.7949218750,4154.8715820312,4156.9228515625,4144.6152343750,4152.5639648438,4160.5126953125,4158.5898437500,4155.5126953125,4152.6923828125,4159.2309570312,,,
0.0820312500,5,4144.7436523438,4142.6923828125,4172.5639648438,4063.2050781250,4162.8203125000,4153.5898437500,4155.6411132812,4143.5898437500,4157.6923828125,4171.0258789062,4157.4360351562,4155.1284179688,4151.9228515625,4160.6411132812,,,
0.0859375000,5,4145.5126953125,4144.6152343750,4173.9741210938,4062.5642089844,4161.0258789062,4154.7436523438,4157.1796875000,4145.5126953125,4162.5639648438,4175.2563476562,4152.4360351562,4152.8203125000,4148.2050781250,4161.4101562500,,,
0.0898437500,5,4145.7690429688,4152.0512695312,4176.1538085938,4063.4614257812,4162.5639648438,4157.9487304688,4161.2822265625,4150.1284179688,4164.2309570312,4170.8974609375,4146.1538085938,4150.1284179688,4143.0771484375,4160.8974609375,,,
0.0937500000,6,4146.7949218750,4159.8715820312,4179.1025390625,4064.7436523438,4166.7949218750,4161.5385742188,4166.4101562500,4156.0258789062,4162.3076171875,4161.2822265625,4142.4360351562,4149.4873046875,4139.4873046875,4160.3847656250,,,
0.0976562500,6,4149.4873046875,4162.1796875000,4182.4360351562,4065.2563476562,4171.6665039062,4163.5898437500,4170.5126953125,4162.0512695312,4158.3334960938,4152.1796875000,4143.4614257812,4152.9487304688,4139.8715820312,4161.4101562500,,,
