Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4162.6923828125,4204.1025390625,4296.9228515625,4200.5126953125,4152.0512695312,4159.8715820312,4182.4360351562,4162.0512695312,4153.9741210938,4151.9228515625,4134.6152343750,4165.8974609375,4078.8461914062,4177.4360351562,,,
0.0039062500,0,4163.0771484375,4194.8715820312,4296.5385742188,4200.3847656250,4152.1796875000,4158.3334960938,4186.2822265625,4168.2050781250,4156.9228515625,4153.0771484375,4136.1538085938,4166.4101562500,4083.9743652344,4177.0512695312,,,
0.0078125000,0,4166.4101562500,4185.8974609375,4296.6665039062,4201.1538085938,4151.7949218750,4156.9228515625,4188.2050781250,4172.9487304688,4161.0258789062,4154.6152343750,4137.3076171875,4167.4360351562,4090.3845214844,4177.9487304688,,,
0.0117187500,0,4170.8974609375,4182.4360351562,4297.4360351562,4203.7177734375,4152.5639648438,4156.5385742188,4188.0771484375,4174.3588867188,4165.0000000000,4157.4360351562,4138.9741210938,4168.8461914062,4096.5385742188,4179.4873046875,,,
0.0156250000,1,4174.6152343750,4189.7436523438,4298.0771484375,4207.4360351562,4154.7436523438,4157.3076171875,4186.7949218750,4172.8203125000,4167.4360351562,4161.5385742188,4141.6665039062,4170.1284179688,4101.0258789062,4180.2563476562,,,
0.0195312500,1,4176.4101562500,4207.4360351562,4297.5639648438,4210.3847656250,4156.1538085938,4158.8461914062,4186.0258789062,4170.6411132812,4168.3334960938,4165.7690429688,4144.6152343750,4171.1538085938,4103.8461914062,4179.3588867188,,,
0.0234375000,1,4176.9228515625,4226.4101562500,4296.1538085938,4210.3847656250,4155.1284179688,4160.0000000000,4186.2822265625,4169.3588867188,4169.3588867188,4168.7177734375,4147.1796875000,4171.9228515625,4105.6411132812,4176.9228515625,,,
0.0273437500,1,4176.4101562500,4235.5126953125,4295.2563476562,4207.1796875000,4152.0512695312,4159.8715820312,4187.1796875000,4169.4873046875,4170.8974609375,4169.2309570312,4148.3334960938,4172.5639648438,4106.7949218750,4173.9741210938,,,
0.0312500000,2,4175.1284179688,4230.1284179688,4295.8974609375,4202.4360351562,4149.1025390625,4158.3334960938,4187.6923828125,4170.1284179688,4171.5385742188,4167.0512695312,4147.3076171875,4172.4360351562,4107.0512695312,4171.7949218750,,,
0.0351562500,2,4172.9487304688,4215.6411132812,4296.7949218750,4199.6152343750,4148.3334960938,4156.0258789062,4186.5385742188,4169.8715820312,4169.4873046875,4162.6923828125,4143.9741210938,4170.8974609375,4105.0000000000,4170.6411132812,,,
0.0390625000,2,4170.5126953125,4202.5639648438,4296.1538085938,4200.5126953125,4149.7436523438,4154.1025390625,4184.2309570312,4168.5898437500,4164.4873046875,4157.8203125000,4140.0000000000,4167.6923828125,4100.5126953125,4169.3588867188,,,
0.0429687500,2,4168.4614257812,4197.4360351562,4293.3334960938,4203.2050781250,4151.9228515625,4153.7177734375,4182.3076171875,4166.7949218750,4159.4873046875,4154.2309570312,4137.4360351562,4163.5898437500,4095.1281738281,4167.9487304688,,,
