Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0429687500,2,4140.0000000000,4157.9487304688,4211.6665039062,4151.5385742188,4159.1025390625,4154.4873046875,4148.4614257812,4135.5126953125,4140.8974609375,4151.7949218750,4139.2309570312,4146.6665039062,4155.3847656250,4149.3588867188,,,
0.0468750000,3,4142.3076171875,4150.2563476562,4214.8715820312,4151.6665039062,4161.4101562500,4155.1284179688,4152.0512695312,4140.0000000000,4146.9228515625,4156.9228515625,4143.9741210938,4148.4614257812,4164.6152343750,4149.3588867188,,,
0.0507812500,3,4144.4873046875,4149.8715820312,4220.2563476562,4153.4614257812,4163.9741210938,4156.6665039062,4155.2563476562,4143.0771484375,4154.3588867188,4162.1796875000,4150.8974609375,4153.0771484375,4172.6923828125,4151.2822265625,,,
0.0546875000,3,4144.8715820312,4155.3847656250,4224.1025390625,4156.2822265625,4164.2309570312,4157.5639648438,4155.1284179688,4143.8461914062,4158.7177734375,4164.6152343750,4155.8974609375,4158.0771484375,4175.1284179688,4153.3334960938,,,
0.0585937500,3,4142.3076171875,4162.6923828125,4223.8461914062,4158.4614257812,4161.2822265625,4156.7949218750,4150.7690429688,4142.0512695312,4156.7949218750,4162.5639648438,4155.5126953125,4160.0000000000,4171.4101562500,4152.9487304688,,,
0.0625000000,4,4138.4614257812,4167.4360351562,4220.2563476562,4157.9487304688,4156.5385742188,4154.8715820312,4144.4873046875,4138.7177734375,4149.4873046875,4156.9228515625,4149.3588867188,4156.9228515625,4165.1284179688,4148.8461914062,,,
0.0664062500,4,4136.1538085938,4167.6923828125,4216.2822265625,4155.1284179688,4153.4614257812,4153.3334960938,4140.3847656250,4135.2563476562,4140.8974609375,4150.8974609375,4141.1538085938,4150.1284179688,4160.5126953125,4143.4614257812,,,
0.0703125000,4,4137.0512695312,4165.6411132812,4215.3847656250,4152.1796875000,4155.1284179688,4152.8203125000,4141.1538085938,4133.5898437500,4136.7949218750,4147.3076171875,4135.8974609375,4143.3334960938,4160.3847656250,4140.7690429688,,,
0.0742187500,4,4140.3847656250,4165.3847656250,4218.7177734375,4152.0512695312,4161.2822265625,4153.9741210938,4146.6665039062,4134.3588867188,4139.6152343750,4147.5639648438,4136.0258789062,4140.1284179688,4164.1025390625,4142.6923828125,,,
0.0781250000,5,4144.4873046875,4169.3588867188,4225.0000000000,4155.2563476562,4168.9741210938,4156.0258789062,4153.5898437500,4136.7949218750,4147.1796875000,4150.8974609375,4139.7436523438,4142.0512695312,4169.1025390625,4147.6923828125,,,
0.0820312500,5,4147.4360351562,4175.5126953125,4230.8974609375,4159.1025390625,4173.5898437500,4157.8203125000,4158.0771484375,4139.2309570312,4154.6152343750,4154.7436523438,4143.0771484375,4147.1796875000,4172.9487304688,4152.4360351562,,,
0.0859375000,5,4148.9741210938,4177.5639648438,4233.0771484375,4160.5126953125,4173.2050781250,4157.8203125000,4157.9487304688,4139.8715820312,4157.1796875000,4156.0258789062,4143.5898437500,4151.9228515625,4174.6152343750,4154.3588867188,,,
0.0898437500,5,4148.8461914062,4170.1284179688,4231.1538085938,4158.4614257812,4168.9741210938,4155.7690429688,4153.9741210938,4138.2050781250,4154.3588867188,4154.2309570312,4141.5385742188,4153.4614257812,4175.1284179688,4153.3334960938,,,
0.0937500000,6,4147.6923828125,4153.3334960938,4227.8203125000,4154.8715820312,4164.8715820312,4153.3334960938,4149.6152343750,4135.3847656250,4149.1025390625,4151.6665039062,4140.0000000000,4151.7949218750,4175.6411132812,4151.1538085938,,,
0.0976562500,6,4146.4101562500,4133.4614257812,4226.6665039062,4153.3334960938,4164.1025390625,4153.2050781250,4148.7177734375,4133.4614257812,4145.2563476562,4151.7949218750,4142.1796875000,4149.7436523438,4177.1796875000,4150.1284179688,,,
0.1015625000,6,4146.7949218750,4120.2563476562,4230.2563476562,4155.8974609375,4167.3076171875,4156.4101562500,4152.9487304688,4134.3588867188,4145.5126953125,4155.7690429688,4148.4614257812,4150.6411132812,4180.1284179688,4151.1538085938,,,
0.1054687500,6,4149.6152343750,4121.0258789062,4237.3076171875,4162.0512695312,4172.1796875000,4161.2822265625,4160.7690429688,4137.8203125000,4150.0000000000,4161.7949218750,4156.1538085938,4155.6411132812,4184.3588867188,4153.2050781250,,,
0.1093750000,7,4154.2309570312,4135.0000000000,4244.7436523438,4168.9741210938,4176.0258789062,4165.1284179688,4168.4614257812,4141.5385742188,4157.1796875000,4166.9228515625,4162.5639648438,4162.6923828125,4189.7436523438,4155.1284179688,,,
0.1132812500,7,4159.1025390625,4153.3334960938,4250.3847656250,4173.3334960938,4177.6923828125,4165.8974609375,4172.8203125000,4143.3334960938,4164.2309570312,4169.6152343750,4166.2822265625,4168.3334960938,4195.0000000000,4157.1796875000,,,
0.1171875000,7,4162.9487304688,4165.3847656250,4253.5898437500,4174.1025390625,4177.1796875000,4163.4614257812,4172.9487304688,4142.9487304688,4168.5898437500,4171.0258789062,4168.4614257812,4171.0258789062,4198.8461914062,4160.5126953125,,,
0.1210937500,7,4165.2563476562,4166.1538085938,4255.5126953125,4172.9487304688,4176.0258789062,4159.7436523438,4170.1284179688,4141.7949218750,4169.6152343750,4173.2050781250,4170.3847656250,4171.9228515625,4200.6411132812,4165.5126953125,,,
0.1250000000,8,4166.1538085938,4159.2309570312,4257.9487304688,4172.1796875000,4175.6411132812,4156.6665039062,4166.7949218750,4141.6665039062,4168.5898437500,4177.5639648438,4172.5639648438,4173.2050781250,4201.5385742188,4170.7690429688,,,
0.1289062500,8,4166.1538085938,4152.9487304688,4260.7690429688,4173.2050781250,4175.8974609375,4155.7690429688,4164.7436523438,4143.5898437500,4167.9487304688,4182.6923828125,4174.3588867188,4176.1538085938,4203.3334960938,4174.6152343750,,,
0.1328125000,8,4166.1538085938,4154.8715820312,4262.9487304688,4175.2563476562,4175.5126953125,4156.5385742188,4165.0000000000,4147.1796875000,4168.4614257812,4185.3847656250,4174.2309570312,4179.1025390625,4207.1796875000,4176.0258789062,,,
0.1367187500,8,4166.7949218750,4166.9228515625,4263.0771484375,4176.2822265625,4173.4614257812,4157.5639648438,4166.5385742188,4150.6411132812,4169.7436523438,4183.5898437500,4171.6665039062,4180.0000000000,4211.9228515625,4175.7690429688,,,
