Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4160.3847656250,4215.0000000000,4143.4614257812,4183.5898437500,4172.1796875000,4162.1796875000,4153.2050781250,4151.6665039062,4154.6152343750,4166.4101562500,4124.2309570312,4154.3588867188,4211.1538085938,4151.2822265625,,,
0.0039062500,0,4162.8203125000,4212.9487304688,4139.8715820312,4188.9741210938,4173.0771484375,4163.0771484375,4153.5898437500,4152.6923828125,4153.3334960938,4163.2050781250,4122.6923828125,4154.8715820312,4207.5639648438,4152.0512695312,,,
0.0078125000,0,4163.4614257812,4210.7690429688,4128.2050781250,4192.4360351562,4172.6923828125,4162.9487304688,4154.1025390625,4154.4873046875,4157.3076171875,4162.9487304688,4125.1284179688,4156.0258789062,4205.7690429688,4152.3076171875,,,
0.0117187500,0,4161.9228515625,4206.7949218750,4108.9741210938,4190.6411132812,4171.4101562500,4162.8203125000,4154.7436523438,4155.5126953125,4163.0771484375,4166.2822265625,4128.3334960938,4156.5385742188,4204.8715820312,4152.1796875000,,,
0.0156250000,1,4159.6152343750,4201.7949218750,4087.6923828125,4185.1284179688,4171.0258789062,4164.1025390625,4156.0258789062,4155.3847656250,4167.0512695312,4171.2822265625,4129.8715820312,4156.2822265625,4204.3588867188,4152.4360351562,,,
0.0195312500,1,4158.3334960938,4197.9487304688,4070.8974609375,4180.8974609375,4172.5639648438,4166.7949218750,4158.3334960938,4155.1284179688,4167.1796875000,4175.5126953125,4129.6152343750,4156.6665039062,4205.1284179688,4153.0771484375,,,
0.0234375000,1,4158.7177734375,4198.3334960938,4061.9230957031,4181.2822265625,4175.7690429688,4168.5898437500,4160.7690429688,4155.5126953125,4164.4873046875,4176.0258789062,4128.5898437500,4157.9487304688,4206.9228515625,4153.4614257812,,,
0.0273437500,1,4160.2563476562,4202.8203125000,4058.4614257812,4185.0000000000,4177.9487304688,4167.5639648438,4161.9228515625,4156.2822265625,4160.6411132812,4172.0512695312,4127.5639648438,4158.9741210938,4208.0771484375,4152.0512695312,,,
0.0312500000,2,4160.8974609375,4208.7177734375,4055.0000000000,4187.4360351562,4176.4101562500,4163.0771484375,4160.2563476562,4156.2822265625,4156.5385742188,4164.6152343750,4125.1284179688,4156.7949218750,4205.8974609375,4147.9487304688,,,
0.0351562500,2,4158.2050781250,4212.5639648438,4047.4357910156,4184.8715820312,4170.3847656250,4157.4360351562,4156.1538085938,4154.8715820312,4152.5639648438,4156.2822265625,4119.6152343750,4150.2563476562,4199.3588867188,4141.7949218750,,,
0.0390625000,2,4152.1796875000,4212.9487304688,4037.3076171875,4177.6923828125,4162.3076171875,4153.0771484375,4151.6665039062,4152.5639648438,4148.9741210938,4150.0000000000,4111.9228515625,4141.2822265625,4190.8974609375,4135.1284179688,,,
0.0429687500,2,4145.8974609375,4211.0258789062,4030.8974609375,4170.3847656250,4156.2822265625,4151.7949218750,4149.2309570312,4151.1538085938,4146.7949218750,4148.2050781250,4105.3847656250,4134.1025390625,4184.7436523438,4130.2563476562,,,
0.0468750000,3,4142.9487304688,4208.2050781250,4033.4614257812,4167.6923828125,4155.2563476562,4153.9741210938,4150.0000000000,4151.5385742188,4146.7949218750,4150.6411132812,4103.9741210938,4132.9487304688,4182.9487304688,4128.8461914062,,,
0.0507812500,3,4144.2309570312,4204.1025390625,4044.1025390625,4170.8974609375,4158.0771484375,4157.6923828125,4152.8203125000,4152.5639648438,4147.8203125000,4154.1025390625,4107.3076171875,4137.3076171875,4183.9741210938,4130.2563476562,,,
0.0546875000,3,4146.7949218750,4195.8974609375,4056.2819824219,4176.1538085938,4159.8715820312,4160.3847656250,4154.3588867188,4151.6665039062,4147.1796875000,4153.9741210938,4110.6411132812,4142.3076171875,4184.3588867188,4131.4101562500,,,
0.0585937500,3,4147.0512695312,4182.1796875000,4063.0769042969,4177.1796875000,4156.4101562500,4159.8715820312,4152.0512695312,4146.2822265625,4143.0771484375,4147.9487304688,4108.7177734375,4142.6923828125,4180.5126953125,4130.3847656250,,,
