Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4133.9741210938,4125.3847656250,4091.1538085938,4101.0258789062,4131.4101562500,4158.7177734375,4133.5898437500,4139.6152343750,4132.6923828125,4141.9228515625,4172.1796875000,4138.2050781250,4182.9487304688,4140.6411132812,,,
0.0039062500,0,4139.1025390625,4124.3588867188,4095.3845214844,4105.5126953125,4135.6411132812,4162.9487304688,4136.7949218750,4146.1538085938,4140.6411132812,4149.3588867188,4178.9741210938,4143.0771484375,4187.9487304688,4146.2822265625,,,
0.0078125000,0,4144.1025390625,4122.1796875000,4100.5126953125,4108.8461914062,4138.8461914062,4165.7690429688,4142.3076171875,4152.4360351562,4150.2563476562,4158.3334960938,4185.7690429688,4148.7177734375,4191.5385742188,4152.4360351562,,,
0.0117187500,0,4147.5639648438,4120.0000000000,4105.5126953125,4110.6411132812,4140.3847656250,4166.0258789062,4148.2050781250,4156.0258789062,4157.9487304688,4166.4101562500,4189.7436523438,4153.4614257812,4193.4614257812,4156.6665039062,,,
0.0156250000,1,4148.5898437500,4119.7436523438,4107.9487304688,4110.5126953125,4140.0000000000,4163.5898437500,4151.6665039062,4155.8974609375,4160.6411132812,4171.1538085938,4188.3334960938,4155.6411132812,4193.5898437500,4157.3076171875,,,
0.0195312500,1,4146.7949218750,4121.9228515625,4105.6411132812,4107.9487304688,4137.4360351562,4159.7436523438,4150.6411132812,4152.5639648438,4157.4360351562,4169.8715820312,4181.9228515625,4153.8461914062,4191.2822265625,4153.9741210938,,,
0.0234375000,1,4142.1796875000,4123.9741210938,4098.8461914062,4102.6923828125,4133.2050781250,4155.8974609375,4145.2563476562,4146.6665039062,4149.8715820312,4162.0512695312,4173.7177734375,4148.4614257812,4186.4101562500,4147.9487304688,,,
0.0273437500,1,4136.4101562500,4122.4360351562,4090.7692871094,4095.6411132812,4127.9487304688,4153.7177734375,4137.5639648438,4140.0000000000,4140.8974609375,4150.6411132812,4167.4360351562,4141.1538085938,4180.0000000000,4141.0258789062,,,
0.0312500000,2,4131.6665039062,4116.5385742188,4085.3845214844,4089.2307128906,4123.4614257812,4154.1025390625,4131.6665039062,4135.0000000000,4134.3588867188,4140.8974609375,4165.0000000000,4134.3588867188,4174.4873046875,4135.5126953125,,,
0.0351562500,2,4130.5126953125,4109.1025390625,4084.7436523438,4086.7949218750,4121.6665039062,4155.8974609375,4130.0000000000,4134.2309570312,4132.8203125000,4137.5639648438,4165.3847656250,4131.6665039062,4171.7949218750,4134.1025390625,,,
0.0390625000,2,4133.3334960938,4104.8715820312,4088.3332519531,4090.2563476562,4123.8461914062,4157.5639648438,4132.8203125000,4138.3334960938,4136.0258789062,4141.2822265625,4167.1796875000,4134.8715820312,4173.4614257812,4137.3076171875,,,
0.0429687500,2,4138.3334960938,4107.0512695312,4092.4357910156,4097.5639648438,4128.8461914062,4157.8203125000,4137.3076171875,4144.7436523438,4141.0258789062,4148.4614257812,4169.3588867188,4142.6923828125,4178.8461914062,4143.4614257812,,,
0.0468750000,3,4142.3076171875,4115.1284179688,4093.8461914062,4104.7436523438,4133.8461914062,4157.5639648438,4140.8974609375,4149.8715820312,4144.4873046875,4154.3588867188,4171.6665039062,4150.6411132812,4185.2563476562,4149.3588867188,,,
0.0507812500,3,4143.9741210938,4125.0000000000,4092.5642089844,4108.2050781250,4136.6665039062,4158.0771484375,4142.4360351562,4152.0512695312,4145.7690429688,4156.7949218750,4174.3588867188,4155.1284179688,4190.2563476562,4152.8203125000,,,
0.0546875000,3,4144.2309570312,4131.7949218750,4091.7949218750,4108.5898437500,4137.5639648438,4159.8715820312,4144.2309570312,4152.6923828125,4146.4101562500,4156.9228515625,4177.4360351562,4155.8974609375,4193.5898437500,4154.2309570312,,,
0.0585937500,3,4144.4873046875,4132.4360351562,4094.1025390625,4108.9741210938,4138.4614257812,4162.3076171875,4148.0771484375,4153.5898437500,4148.3334960938,4157.3076171875,4180.7690429688,4155.8974609375,4196.2822265625,4154.6152343750,,,
0.0625000000,4,4145.2563476562,4127.6923828125,4098.7177734375,4110.7690429688,4140.5126953125,4163.0771484375,4152.6923828125,4154.3588867188,4150.6411132812,4158.9741210938,4182.6923828125,4156.6665039062,4197.6923828125,4154.8715820312,,,
0.0664062500,4,4145.3847656250,4121.5385742188,4101.7949218750,4112.4360351562,4142.1796875000,4161.0258789062,4153.7177734375,4152.6923828125,4150.3847656250,4159.2309570312,4180.8974609375,4157.1796875000,4196.0258789062,4154.1025390625,,,
0.0703125000,4,4143.7177734375,4117.8203125000,4099.6152343750,4110.7690429688,4140.3847656250,4156.7949218750,4147.6923828125,4146.4101562500,4144.8715820312,4154.7436523438,4174.2309570312,4154.7436523438,4189.7436523438,4150.7690429688,,,
0.0742187500,4,4140.2563476562,4117.5639648438,4092.5642089844,4105.0000000000,4134.3588867188,4152.4360351562,4136.5385742188,4137.1796875000,4134.8715820312,4145.7690429688,4165.1284179688,4148.5898437500,4181.5385742188,4144.8715820312,,,
0.0781250000,5,4136.9228515625,4119.4873046875,4084.6154785156,4097.6923828125,4126.6665039062,4150.3847656250,4126.4101562500,4129.2309570312,4125.5126953125,4136.6665039062,4157.9487304688,4141.1538085938,4175.5126953125,4138.8461914062,,,
0.0820312500,5,4135.8974609375,4122.0512695312,4081.2819824219,4093.7180175781,4121.2822265625,4151.6665039062,4122.8203125000,4126.4101562500,4121.9228515625,4132.9487304688,4156.6665039062,4136.9228515625,4175.1284179688,4136.0258789062,,,
0.0859375000,5,4137.9487304688,4124.8715820312,4085.0000000000,4095.5129394531,4120.2563476562,4154.6152343750,4126.5385742188,4129.2309570312,4125.8974609375,4136.5385742188,4161.5385742188,4139.2309570312,4179.4873046875,4138.4614257812,,,
0.0898437500,5,4142.0512695312,4128.5898437500,4093.2050781250,4101.1538085938,4122.4360351562,4157.0512695312,4133.4614257812,4134.7436523438,4133.8461914062,4144.7436523438,4168.7177734375,4146.7949218750,4185.1284179688,4145.1284179688,,,
0.0937500000,6,4145.1284179688,4133.5898437500,4101.1538085938,4106.0258789062,4124.8715820312,4157.4360351562,4138.4614257812,4139.3588867188,4140.2563476562,4152.3076171875,4173.2050781250,4154.7436523438,4188.4614257812,4152.3076171875,,,
0.0976562500,6,4145.7690429688,4139.3588867188,4104.6152343750,4106.7949218750,4125.8974609375,4156.5385742188,4138.7177734375,4141.2822265625,4141.1538085938,4155.1284179688,4172.6923828125,4158.0771484375,4188.5898437500,4156.2822265625,,,
0.1015625000,6,4145.0000000000,4143.9741210938,4103.7177734375,4104.3588867188,4125.6411132812,4156.2822265625,4136.1538085938,4141.7949218750,4137.4360351562,4153.3334960938,4169.1025390625,4155.6411132812,4188.0771484375,4155.7690429688,,,
