Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4165.6411132812,4202.1796875000,4150.5126953125,4180.5126953125,4162.1796875000,4151.9228515625,4152.1796875000,4140.7690429688,4138.3334960938,4120.1284179688,4054.3588867188,4115.6411132812,4105.0000000000,4153.0771484375,,,
0.0039062500,0,4162.1796875000,4189.6152343750,4147.6923828125,4175.6411132812,4154.6152343750,4151.6665039062,4149.6152343750,4140.8974609375,4137.3076171875,4118.2050781250,4051.0256347656,4111.7949218750,4102.4360351562,4150.6411132812,,,
0.0078125000,0,4159.3588867188,4186.9228515625,4147.4360351562,4173.9741210938,4151.1538085938,4155.5126953125,4148.9741210938,4143.4614257812,4138.8461914062,4121.4101562500,4053.7180175781,4112.6923828125,4104.1025390625,4149.7436523438,,,
0.0117187500,0,4158.9741210938,4196.4101562500,4150.7690429688,4176.7949218750,4154.1025390625,4161.4101562500,4150.5126953125,4147.8203125000,4143.5898437500,4129.4873046875,4062.5642089844,4117.8203125000,4111.6665039062,4151.4101562500,,,
0.0156250000,1,4161.0258789062,4211.4101562500,4155.7690429688,4182.9487304688,4161.0258789062,4165.5126953125,4153.2050781250,4151.9228515625,4150.0000000000,4138.8461914062,4073.3332519531,4123.8461914062,4121.9228515625,4154.4873046875,,,
0.0195312500,1,4163.5898437500,4221.9228515625,4159.6152343750,4189.1025390625,4167.1796875000,4165.6411132812,4155.2563476562,4153.7177734375,4155.1284179688,4145.0000000000,4080.5129394531,4127.4360351562,4129.8715820312,4156.4101562500,,,
0.0234375000,1,4165.1284179688,4220.8974609375,4160.1284179688,4191.7949218750,4169.6152343750,4162.0512695312,4155.1284179688,4152.3076171875,4157.0512695312,4145.5126953125,4080.7692871094,4127.5639648438,4132.3076171875,4156.1538085938,,,
0.0273437500,1,4165.5126953125,4209.2309570312,4157.6923828125,4189.4873046875,4168.5898437500,4158.0771484375,4153.2050781250,4148.4614257812,4155.7690429688,4141.6665039062,4075.8974609375,4125.2563476562,4129.8715820312,4154.4873046875,,,
0.0312500000,2,4165.1284179688,4194.6152343750,4154.7436523438,4184.8715820312,4166.9228515625,4156.6665039062,4150.8974609375,4144.8715820312,4152.8203125000,4137.4360351562,4070.7692871094,4123.4614257812,4126.5385742188,4153.3334960938,,,
0.0351562500,2,4165.0000000000,4186.7949218750,4153.9741210938,4182.6923828125,4167.5639648438,4159.4873046875,4150.8974609375,4144.1025390625,4150.8974609375,4137.0512695312,4070.8974609375,4124.8715820312,4127.0512695312,4154.7436523438,,,
0.0390625000,2,4166.9228515625,4191.2822265625,4157.6923828125,4187.0512695312,4171.4101562500,4165.3847656250,4155.5126953125,4147.6923828125,4152.3076171875,4142.1796875000,4078.2050781250,4131.4101562500,4132.8203125000,4159.7436523438,,,
0.0429687500,2,4172.5639648438,4205.8974609375,4165.8974609375,4197.9487304688,4178.0771484375,4170.5126953125,4165.0000000000,4154.4873046875,4157.9487304688,4151.1538085938,4090.7692871094,4142.4360351562,4142.4360351562,4168.3334960938,,,
